id,category,name,price,stock,barcode,image
,정육_축산,돼지고기 삼겹살,2880,50,8.8093E+12,https://i.imgur.com/hyo6kGc.png
,정육_축산,돼지고기 목살,2480,50,8.8093E+12,https://i.imgur.com/KQdaWNT.png
,정육_축산,한우 갈비살,15000,50,8.8093E+12,https://i.imgur.com/3bagcpH.png
,정육_축산,소고기 안심,6000,50,8.8093E+12,https://i.imgur.com/vVqaqWf.png
,정육_축산,닭가슴살,7000,50,8.8093E+12,https://i.imgur.com/3dJiQUB.png
,정육_축산,돼지고기 앞다리살,40000,50,8.8093E+12,https://i.imgur.com/8zIjvs1.png
,정육_축산,오리고기,20000,50,8.8093E+12,https://i.imgur.com/cl9NjIq.png
,정육_축산,소고기 차돌박이,30000,50,8.8093E+12,https://i.imgur.com/2AAMu8g.png
,정육_축산,돼지고기 항정살,22000,50,8.8093E+12,https://i.imgur.com/n0Nb04q.png
,정육_축산,닭날개,6000,50,8.8093E+12,https://i.imgur.com/UrvBjVJ.png
,해산_수산,연어,25000,50,8.8093E+12,https://i.imgur.com/KCbrQE9.png
,해산_수산,참치,28000,50,8.8093E+12,https://i.imgur.com/wZmRI02.png
,해산_수산,고등어,7500,50,8.8093E+12,https://i.imgur.com/GUVFUE1.png
,해산_수산,갈치,15000,50,8.8093E+12,https://i.imgur.com/NTOt9jb.png
,해산_수산,조기,12000,50,8.8093E+12,https://i.imgur.com/y3hJp9Q.png
,해산_수산,광어,22000,50,8.8093E+12,https://i.imgur.com/unjglXd.png
,해산_수산,명태,8000,50,8.8093E+12,https://i.imgur.com/ZlYsDsZ.png
,해산_수산,전복,20000,50,8.8093E+12,https://i.imgur.com/xthQ3w5.png
,해산_수산,새우,20000,50,8.8093E+12,https://i.imgur.com/3jnXxYk.png
,해산_수산,바지락,5000,50,8.8093E+12,https://i.imgur.com/1syzBbA.png
,채소_과일,상추,2500,50,8.8093E+12,https://i.imgur.com/hqNoyQb.png
,채소_과일,시금치,3000,50,8.8093E+12,https://i.imgur.com/qU5qEQr.png
,채소_과일,양파,1500,50,8.8093E+12,https://i.imgur.com/rhNooMj.png
,채소_과일,당근,1200,50,8.8093E+12,https://i.imgur.com/WXBrrPS.png
,채소_과일,감자,2000,50,8.8093E+12,https://i.imgur.com/8RyVR3D.png
,채소_과일,양배추,4500,50,8.8093E+12,https://i.imgur.com/DZYLuZA.png
,채소_과일,토마토,4000,50,8.8093E+12,https://i.imgur.com/A0U3VhE.png
,채소_과일,파프리카,3500,50,8.8093E+12,https://i.imgur.com/hGZC1pN.png
,채소_과일,마늘,10000,50,8.8093E+12,https://i.imgur.com/praMSGw.png
,채소_과일,고추,6000,50,8.8093E+12,https://i.imgur.com/EKdQomG.png
,생활_가전,케라시스 퍼퓸 샴푸 체리블라썸,6500,50,8.8093E+12,https://i.imgur.com/MjsG4dD.png
,생활_가전,케라시스 퍼퓸 린스 체리블라썸,7100,50,8.8093E+12,https://i.imgur.com/d77D4PS.png
,생활_가전,피죤 레귤러 섬유유연제 핑크로즈,8700,50,8.8093E+12,https://i.imgur.com/F1ZfDKN.png
,생활_가전,다우니 프리미엄 실내건조 액체형 세제,12000,50,8.8093E+12,https://i.imgur.com/wZYFs2f.png
,생활_가전,퍼실 딥 클린 라벤더젤 플러스 드럼용 액상세제,14800,50,8.8093E+12,https://i.imgur.com/fwZzBdq.png
,생활_가전,잘풀리는집 맥스소프트 화장지,16500,50,8.8093E+12,https://i.imgur.com/UhBACDl.png
,생활_가전,페브리즈 에어 실내 탈취제 다우니향,14000,50,8.8093E+12,https://i.imgur.com/iTu0vZL.png
,생활_가전,페브리즈 섬유탈취제 강력탈취 상쾌한향,5000,50,8.8093E+12,https://i.imgur.com/F65jsKV.png
,생활_가전,페브리즈 섬유탈취제 강력탈취 미스티크,7500,50,8.8093E+12,https://i.imgur.com/HTFZkpM.png
,생활_가전,도브 뷰티너리싱 바디워시,6200,50,8.8093E+12,https://i.imgur.com/11Jzr8N.png
,생활_가전,세타필 모이스춰라이징 바디로션,11000,50,8.8093E+12,https://i.imgur.com/LBjRljD.png
,생활_가전,바세린 오리지널 프로텍팅 젤리,3000,50,8.8093E+12,https://i.imgur.com/OB4OCIX.png
,생활_가전,2080 오리지날 미세모 칫솔,6800,50,8.8093E+12,https://i.imgur.com/H0quLBp.png
,생활_가전,페리오 뉴 후레쉬 플러스 치약,1500,50,8.8093E+12,https://i.imgur.com/mjNP0Q7.png
,생활_가전,도루코 쓰리터치 일회용 3날 면도기,1200,50,8.8093E+12,https://i.imgur.com/hmv9e36.png
,생활_가전,질레트 센서티브 2 in 1 퓨어스포츠 쉐이빙젤 면도젤,6000,50,8.8093E+12,https://i.imgur.com/PCblAav.png
,생활_가전,니베아 맨 센서티브 쉐이빙 폼,6600,50,8.8093E+12,https://i.imgur.com/Kl6Dumu.png
,생활_가전,파테크 초고출력 헤어 드라이어,23900,50,8.8093E+12,https://i.imgur.com/bakkPUH.png
,생활_가전,바비리스 다이아몬드 세라믹 스트레이트너 고데기,28900,50,8.8093E+12,https://i.imgur.com/ASW9tdI.png
,생활_가전,필립스 SkinIQ 7000 시리즈 전기면도기,168000,50,8.8093E+12,https://i.imgur.com/YOSH0Vf.png
,생활_가전,삼성전자 15W PD 정품 C타입 고속 충전기 케이블 포함,14000,50,8.8093E+12,https://i.imgur.com/2ck5vrz.png
,생활_가전,BRUNO 쿨터치 무선 전기포트,27800,50,8.8093E+12,https://i.imgur.com/QpYMgie.png
,생활_가전,쿠쿠 에어프라이어,75600,50,8.8093E+12,https://i.imgur.com/43q36bz.png
,생활_가전,키친플라워 쿠킨 유리 티포트,19800,50,8.8093E+12,https://i.imgur.com/tD0754C.png
,생활_가전,쿠쿠 전기압력밥솥,143000,50,8.8093E+12,https://i.imgur.com/u5Gv1xL.png
,생활_가전,쿠쿠 전자레인지 다이얼식,57000,50,8.8093E+12,https://i.imgur.com/7cil9xJ.png
,생활_가전,신일 좌석용 선풍기,78900,50,8.8093E+12,https://i.imgur.com/CC8GOKz.png
,주류_음료,삼다수,1080,50,8.8093E+12,https://i.imgur.com/mhYpYjE.png
,주류_음료,삼다수,480,50,8.8093E+12,https://i.imgur.com/XWLzo3O.png
